time,s,i,v,p_s,p_i,phi
19.200000,0.305786,0.040989,0.050000,25.345057,255.253834,-5.750172
19.300000,0.303881,0.040955,0.050000,25.189620,254.208081,-5.654656
19.400000,0.301989,0.040919,0.050000,25.034739,253.172957,-5.560206
19.500000,0.300108,0.040880,0.050000,24.880416,252.148293,-5.466811
19.600000,0.298239,0.040840,0.050000,24.726657,251.133925,-5.374462
19.700000,0.296383,0.040797,0.050000,24.573466,250.129693,-5.283151
19.800000,0.294538,0.040752,0.050000,24.420846,249.135437,-5.192870
19.900000,0.292705,0.040704,0.050000,24.268803,248.151002,-5.103608
20.000000,0.290884,0.040654,0.050000,24.117339,247.176234,-5.015357
20.100000,0.289075,0.040603,0.050000,23.966460,246.210983,-4.928108
20.200000,0.287278,0.040549,0.050000,23.816168,245.255100,-4.841854
20.300000,0.285492,0.040493,0.050000,23.666469,244.308440,-4.756583
20.400000,0.283718,0.040435,0.050000,23.517365,243.370860,-4.672289
20.500000,0.281955,0.040374,0.050000,23.368860,242.442218,-4.588962
20.600000,0.280204,0.040312,0.050000,23.220958,241.522377,-4.506594
20.700000,0.278464,0.040248,0.050000,23.073663,240.611201,-4.425176
20.800000,0.276735,0.040182,0.050000,22.926979,239.708554,-4.344699
20.900000,0.275018,0.040113,0.050000,22.780908,238.814306,-4.265156
21.000000,0.273312,0.040043,0.050000,22.635454,237.928327,-4.186536
21.100000,0.271617,0.039971,0.050000,22.490620,237.050490,-4.108832
21.200000,0.269933,0.039897,0.050000,22.346411,236.180668,-4.032036
21.300000,0.268260,0.039821,0.050000,22.202828,235.318739,-3.956138
21.400000,0.266599,0.039744,0.050000,22.059876,234.464581,-3.881131
21.500000,0.264948,0.039664,0.050000,21.917557,233.618075,-3.807006
21.600000,0.263308,0.039583,0.050000,21.775874,232.779103,-3.733755
21.700000,0.261678,0.039499,0.050000,21.634831,231.947549,-3.661370
21.800000,0.260060,0.039415,0.050000,21.494430,231.123300,-3.589842
21.900000,0.258452,0.039328,0.050000,21.354675,230.306242,-3.519163
22.000000,0.256855,0.039240,0.050000,21.215567,229.496267,-3.449325
22.100000,0.255268,0.039150,0.050000,21.077110,228.693264,-3.380320
22.200000,0.253692,0.039058,0.050000,20.939307,227.897128,-3.312139
22.300000,0.252127,0.038965,0.050000,20.802160,227.107752,-3.244776
22.400000,0.250571,0.038870,0.050000,20.665671,226.325034,-3.178221
22.500000,0.249026,0.038773,0.050000,20.529843,225.548870,-3.112467
22.600000,0.247491,0.038675,0.050000,20.394679,224.779160,-3.047506
22.700000,0.245967,0.038575,0.050000,20.260181,224.015805,-2.983330
22.800000,0.244452,0.038474,0.050000,20.126351,223.258708,-2.919931
22.900000,0.242948,0.038372,0.050000,19.993192,222.507771,-2.857302
23.000000,0.241453,0.038268,0.050000,19.860706,221.762901,-2.795435
23.100000,0.239969,0.038162,0.050000,19.728894,221.024004,-2.734322
23.200000,0.238494,0.038055,0.050000,19.597759,220.290988,-2.673955
23.300000,0.237030,0.037947,0.050000,19.467304,219.563762,-2.614327
23.400000,0.235575,0.037837,0.050000,19.337529,218.842237,-2.555431
23.500000,0.234129,0.037726,0.050000,19.208437,218.126325,-2.497259
23.600000,0.232694,0.037614,0.050000,19.080030,217.415939,-2.439803
23.700000,0.231268,0.037501,0.050000,18.952309,216.710994,-2.383056
23.800000,0.229851,0.037386,0.050000,18.825277,216.011404,-2.327011
23.900000,0.228444,0.037270,0.050000,18.698934,215.317087,-2.271661
24.000000,0.227046,0.037152,0.050000,18.573283,214.627961,-2.216998
24.100000,0.225658,0.037034,0.050000,18.448326,213.943945,-2.163015
24.200000,0.224279,0.036914,0.050000,18.324062,213.264960,-2.109705
24.300000,0.222909,0.036794,0.050000,18.200495,212.590926,-2.057061
24.400000,0.221549,0.036672,0.050000,18.077625,211.921765,-2.005076
24.500000,0.220197,0.036549,0.050000,17.955454,211.257402,-1.953743
24.600000,0.218855,0.036425,0.050000,17.833984,210.597761,-1.903054
24.700000,0.217521,0.036300,0.050000,17.713214,209.942767,-1.853004
24.800000,0.216197,0.036173,0.050000,17.593147,209.292347,-1.803585
24.900000,0.214881,0.036046,0.050000,17.473784,208.646428,-1.754791
25.000000,0.213575,0.035918,0.050000,17.355125,208.004939,-1.706614
25.100000,0.212277,0.035789,0.050000,17.237172,207.367809,-1.659048
25.200000,0.210987,0.035659,0.050000,17.119926,206.734968,-1.612087
25.300000,0.209707,0.035528,0.050000,17.003388,206.106347,-1.565723
25.400000,0.208435,0.035397,0.050000,16.887557,205.481878,-1.519951
25.500000,0.207171,0.035264,0.050000,16.772437,204.861495,-1.474764
25.600000,0.205916,0.035130,0.050000,16.658026,204.245130,-1.430155
25.700000,0.204669,0.034996,0.050000,16.544326,203.632719,-1.386118
25.800000,0.203431,0.034861,0.050000,16.431338,203.024197,-1.342647
25.900000,0.202201,0.034725,0.050000,16.319062,202.419499,-1.299736
26.000000,0.200980,0.034589,0.050000,16.207498,201.818564,-1.257378
26.100000,0.199766,0.034451,0.050000,16.096648,201.221327,-1.215566
26.200000,0.198561,0.034313,0.050000,15.986511,200.627729,-1.174296
26.300000,0.197364,0.034175,0.050000,15.877088,200.037707,-1.133561
26.400000,0.196175,0.034035,0.050000,15.768380,199.451202,-1.093355
26.500000,0.194993,0.033895,0.050000,15.660387,198.868155,-1.053672
26.600000,0.193820,0.033754,0.050000,15.553108,198.288506,-1.014506
